"No.","Time","Source","Destination","Protocol","Length","Info"
"25674","224.988903","192.168.234.129","52.167.17.97","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"25676","225.042228","52.167.17.97","192.168.234.129","TLSv1.2","174","Change Cipher Spec, Encrypted Handshake Message, Application Data"
"25677","225.043078","192.168.234.129","52.167.17.97","TLSv1.2","141","Application Data"
"25678","225.043190","192.168.234.129","52.167.17.97","TLSv1.2","1999","Application Data"
"25680","225.043400","192.168.234.129","52.167.17.97","TLSv1.2","92","Application Data"
"25684","225.096245","52.167.17.97","192.168.234.129","TLSv1.2","92","Application Data"
"25688","225.231670","52.167.17.97","192.168.234.129","TLSv1.2","698","Application Data"
"25697","225.596336","192.168.234.129","52.167.17.97","TLSv1.2","268","Client Hello (SNI=settings-win.data.microsoft.com)"
"25701","225.652681","52.167.17.97","192.168.234.129","TLSv1.2","892","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"25703","225.667256","192.168.234.129","52.167.17.97","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"25705","225.722663","52.167.17.97","192.168.234.129","TLSv1.2","174","Change Cipher Spec, Encrypted Handshake Message, Application Data"
"25706","225.723486","192.168.234.129","52.167.17.97","TLSv1.2","141","Application Data"
"25707","225.723600","192.168.234.129","52.167.17.97","TLSv1.2","4342","Application Data"
"25712","225.723996","192.168.234.129","52.167.17.97","TLSv1.2","92","Application Data"
"25714","225.776277","52.167.17.97","192.168.234.129","TLSv1.2","92","Application Data"
"25716","225.866266","52.167.17.97","192.168.234.129","TLSv1.2","418","Application Data"
"25719","225.921205","52.167.17.97","192.168.234.129","TLSv1.2","96","Application Data"
"25724","226.009926","192.168.234.129","52.167.17.97","TLSv1.2","268","Client Hello (SNI=settings-win.data.microsoft.com)"
"25728","226.066356","52.167.17.97","192.168.234.129","TLSv1.2","892","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"25730","226.068731","192.168.234.129","52.167.17.97","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"25732","226.123193","52.167.17.97","192.168.234.129","TLSv1.2","174","Change Cipher Spec, Encrypted Handshake Message, Application Data"
"25733","226.124111","192.168.234.129","52.167.17.97","TLSv1.2","141","Application Data"
"25734","226.124231","192.168.234.129","52.167.17.97","TLSv1.2","823","Application Data"
"25737","226.124564","192.168.234.129","52.167.17.97","TLSv1.2","92","Application Data"
"25740","226.179202","52.167.17.97","192.168.234.129","TLSv1.2","92","Application Data"
"25742","226.234281","52.167.17.97","192.168.234.129","TLSv1.2","378","Application Data"
"25745","226.289221","52.167.17.97","192.168.234.129","TLSv1.2","96","Application Data"
"25774","246.022792","192.168.234.129","150.171.27.11","TLSv1.2","226","Application Data"
"25775","246.022884","192.168.234.129","150.171.27.11","TLSv1.2","100","Application Data"
"25780","246.049722","150.171.27.11","192.168.234.129","TLSv1.2","503","Application Data, Application Data"
"25781","246.050967","192.168.234.129","150.171.27.11","TLSv1.2","96","Application Data"
"25783","246.075424","150.171.27.11","192.168.234.129","TLSv1.2","100","Application Data"
"25791","251.258445","192.168.234.129","23.53.13.168","QUIC","1292","Initial, DCID=c4719f33674d23bd, PKN: 2, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, PADDING, PING, CRYPTO, CRYPTO, PING, PING, PADDING, PING, PADDING, PING, PADDING, CRYPTO, PADDING"
"25794","251.282449","23.53.13.168","192.168.234.129","QUIC","1292","Initial, SCID=1fb082812640662e, PKN: 3, CRYPTO, PADDING"
"25809","252.657528","192.168.234.129","150.171.22.17","TLSv1.2","525","Client Hello (SNI=config.edge.skype.com)"
"25815","252.688845","150.171.22.17","192.168.234.129","TLSv1.2","209","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"25817","252.691698","192.168.234.129","150.171.22.17","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"25819","252.718804","150.171.22.17","192.168.234.129","TLSv1.2","465","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message, Application Data"
"25820","252.731479","192.168.234.129","150.171.22.17","TLSv1.2","141","Application Data"
"25821","252.731592","192.168.234.129","150.171.22.17","TLSv1.2","2087","Application Data"
"25825","252.731741","192.168.234.129","150.171.22.17","TLSv1.2","92","Application Data"
"25827","252.758821","150.171.22.17","192.168.234.129","TLSv1.2","92","Application Data"
"25848","253.006918","150.171.22.17","192.168.234.129","TLSv1.2","670","Application Data"
"25874","263.863197","4.153.29.52","192.168.234.129","TLSv1.3","117","Application Data, Application Data"
"25878","264.073875","4.150.155.223","192.168.234.129","TLSv1.3","117","Application Data, Application Data"
"25883","265.441768","4.153.57.10","192.168.234.129","TLSv1.3","117","Application Data, Application Data"
"25916","275.846563","192.168.234.129","4.153.29.52","TLSv1.3","512","Client Hello (SNI=checkappexec.microsoft.com)"
"25918","275.899251","4.153.29.52","192.168.234.129","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"25923","275.899251","4.153.29.52","192.168.234.129","TLSv1.3","972","Application Data, Application Data, Application Data"
