"No.","Time","Source","Destination","Protocol","Length","Info"
"24243","216.090956","151.101.54.172","192.168.234.129","HTTP","881","HTTP/1.1 206 Partial Content "
"24297","216.095422","192.168.234.129","151.101.54.172","HTTP","490","GET /filestreamingservice/files/b4f9c153-8ff0-4c28-9f5f-a96f29c9074b?P1=1757115376&P2=404&P3=2&P4=HyPLzDLM%2fUqqqPSeayYKirMKY98GyTIEQFpn2HyjWui2q6Y0Y1FxIP282FtvlBinptFMpjOP9MkRsgLVssL7mg%3d%3d HTTP/1.1 "
"24544","216.131909","151.101.54.172","192.168.234.129","HTTP","330","HTTP/1.1 206 Partial Content "
"25294","216.214601","151.101.54.172","192.168.234.129","HTTP","357","HTTP/1.1 206 Partial Content "
"26277","407.366191","192.168.234.129","92.223.107.59","HTTP","304","GET /d/msdownload/update/others/2025/08/43821368_77fda913916a0c7eaac116f8b3e058498ec94f00.cab HTTP/1.1 "
"26284","407.423668","92.223.107.59","192.168.234.129","HTTP","467","HTTP/1.1 200 OK  (application/vnd.ms-cab-compressed)"
"26286","407.425663","192.168.234.129","92.223.107.59","HTTP","304","GET /d/msdownload/update/others/2025/08/43821367_2f413f608178a9e0ca916138ab07eda1afaccad2.cab HTTP/1.1 "
"26293","407.480472","92.223.107.59","192.168.234.129","HTTP","459","HTTP/1.1 200 OK  (application/vnd.ms-cab-compressed)"
"26295","407.481558","192.168.234.129","92.223.107.59","HTTP","304","GET /d/msdownload/update/others/2025/08/43821366_09a584b7e8f9ed64a260163f4887a019961d7c7d.cab HTTP/1.1 "
"26302","407.536916","92.223.107.59","192.168.234.129","HTTP","463","HTTP/1.1 200 OK  (application/vnd.ms-cab-compressed)"
"26304","407.537702","192.168.234.129","92.223.107.59","HTTP","304","GET /d/msdownload/update/others/2025/08/43821365_855621d5eeed2adc40f11696128c405cf6c17856.cab HTTP/1.1 "
"26311","407.593055","92.223.107.59","192.168.234.129","HTTP","467","HTTP/1.1 200 OK  (application/vnd.ms-cab-compressed)"
"26313","407.594514","192.168.234.129","92.223.107.59","HTTP","304","GET /d/msdownload/update/others/2025/08/43821364_bf48562c11b3891276a26e84bf3d34a20a38968c.cab HTTP/1.1 "
"26320","407.648906","92.223.107.59","192.168.234.129","HTTP","459","HTTP/1.1 200 OK  (application/vnd.ms-cab-compressed)"
"26322","407.649995","192.168.234.129","92.223.107.59","HTTP","304","GET /d/msdownload/update/others/2025/08/43821363_0f8e9a3539d954ba7742bc9bb4712e56d2b4f1ab.cab HTTP/1.1 "
"26330","407.707139","92.223.107.59","192.168.234.129","HTTP","677","HTTP/1.1 200 OK  (application/vnd.ms-cab-compressed)"
"26332","407.708112","192.168.234.129","92.223.107.59","HTTP","304","GET /d/msdownload/update/others/2025/08/43821362_b9e422b4340519ab786fe3704a8ea18b9887be89.cab HTTP/1.1 "
"26339","407.762575","92.223.107.59","192.168.234.129","HTTP","459","HTTP/1.1 200 OK  (application/vnd.ms-cab-compressed)"
"26341","407.763604","192.168.234.129","92.223.107.59","HTTP","304","GET /d/msdownload/update/others/2025/08/43821361_c516db83d7d7b0a9a98338cd1fa49d25b1be328c.cab HTTP/1.1 "
"26348","407.817961","92.223.107.59","192.168.234.129","HTTP","455","HTTP/1.1 200 OK  (application/vnd.ms-cab-compressed)"
"26350","407.819349","192.168.234.129","92.223.107.59","HTTP","304","GET /d/msdownload/update/others/2025/08/43821360_22a351b74becaf7a4a4e2442d6c7490a5422a8ce.cab HTTP/1.1 "
"26357","407.873685","92.223.107.59","192.168.234.129","HTTP","457","HTTP/1.1 200 OK  (application/vnd.ms-cab-compressed)"
