"No.","Time","Source","Destination","Protocol","Length","Info"
"16390","180.163884","192.168.234.2","192.168.234.129","DNS","149","Standard query response 0xbfa5 PTR 9.188.209.23.in-addr.arpa PTR a23-209-188-9.deploy.static.akamaitechnologies.com"
"16415","191.170712","192.168.234.129","192.168.234.2","DNS","72","Standard query 0x06f2 A www.bing.com"
"16416","191.170972","192.168.234.129","192.168.234.2","DNS","72","Standard query 0x3b99 HTTPS www.bing.com"
"16417","191.172836","192.168.234.129","192.168.234.2","DNS","76","Standard query 0x9f58 A wpad.localdomain"
"16424","191.199877","192.168.234.2","192.168.234.129","DNS","312","Standard query response 0x3b99 HTTPS www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net CNAME user-att-99-77-104-0.e86303.dscx.akamaiedge.net SOA n0dscx.akamaiedge.net"
"16425","191.204896","192.168.234.2","192.168.234.129","DNS","282","Standard query response 0x06f2 A www.bing.com CNAME www-www.bing.com.trafficmanager.net CNAME www.bing.com.edgekey.net CNAME e86303.dscx.akamaiedge.net CNAME user-att-99-77-104-0.e86303.dscx.akamaiedge.net A 23.53.13.168 A 23.53.13.166 A 23.53.13.164"
"16442","192.186373","192.168.234.129","192.168.234.2","DNS","76","Standard query 0x9f58 A wpad.localdomain"
"16447","192.187695","192.168.234.2","192.168.234.129","DNS","76","Standard query response 0x9f58 No such name A wpad.localdomain"
"16460","193.203183","192.168.234.2","192.168.234.129","DNS","76","Standard query response 0x9f58 No such name A wpad.localdomain"
"16463","199.543367","192.168.234.129","192.168.234.2","DNS","83","Standard query 0x05d2 A pti.store.microsoft.com"
"16464","199.567647","192.168.234.129","192.168.234.2","DNS","82","Standard query 0x219c A client.wns.windows.com"
"16465","199.571725","192.168.234.2","192.168.234.129","DNS","172","Standard query response 0x05d2 No such name A pti.store.microsoft.com SOA ns1-39.azure-dns.com"
"16466","199.595048","192.168.234.2","192.168.234.129","DNS","141","Standard query response 0x219c A client.wns.windows.com CNAME wns.notify.trafficmanager.net A 104.208.203.88"
"16494","200.378996","192.168.234.129","192.168.234.2","DNS","89","Standard query 0x31a2 A v10.events.data.microsoft.com"
"16495","200.406800","192.168.234.2","192.168.234.129","DNS","229","Standard query response 0x31a2 A v10.events.data.microsoft.com CNAME win-global-asimov-leafs-events-data.trafficmanager.net CNAME onedscolprdwus04.westus.cloudapp.azure.com A 20.189.173.5"
"16524","200.948290","192.168.234.129","192.168.234.2","DNS","91","Standard query 0x1b85 A settings-win.data.microsoft.com"
"16525","200.978497","192.168.234.129","192.168.234.2","DNS","91","Standard query 0x1b85 A settings-win.data.microsoft.com"
"16526","200.979202","192.168.234.2","192.168.234.129","DNS","224","Standard query response 0x1b85 A settings-win.data.microsoft.com CNAME atm-settingsfe-prod-geo2.trafficmanager.net CNAME settings-prod-uks-1.uksouth.cloudapp.azure.com A 51.11.168.232"
"16527","200.982777","192.168.234.2","192.168.234.129","DNS","224","Standard query response 0x1b85 A settings-win.data.microsoft.com CNAME atm-settingsfe-prod-geo2.trafficmanager.net CNAME settings-prod-uks-1.uksouth.cloudapp.azure.com A 51.11.168.232"
"16529","201.113845","192.168.234.129","192.168.234.2","DNS","74","Standard query 0x9302 A ecs.office.com"
"16532","201.142050","192.168.234.2","192.168.234.129","DNS","261","Standard query response 0x9302 A ecs.office.com CNAME ecs.office.trafficmanager.net CNAME dual-s-0005-office.config.skype.com CNAME ecs-office.s-0005.dual-s-msedge.net CNAME s-0005.dual-s-msedge.net A 52.123.128.14 A 52.123.129.14"
"16560","201.556600","192.168.234.129","192.168.234.2","DNS","85","Standard query 0xe245 PTR 5.173.189.20.in-addr.arpa"
"16561","201.557612","192.168.234.129","192.168.234.2","DNS","87","Standard query 0xb27e PTR 88.203.208.104.in-addr.arpa"
"16563","201.582827","192.168.234.129","192.168.234.2","DNS","133","Standard query 0xea42 A vmw-keyid-7dc694e1591804e5f34965e149456bad78b42170.microsoftaik.azure.net"
"16564","201.586612","192.168.234.2","192.168.234.129","DNS","164","Standard query response 0xb27e No such name PTR 88.203.208.104.in-addr.arpa SOA ns1-201.azure-dns.com"
"16565","201.586612","192.168.234.2","192.168.234.129","DNS","174","Standard query response 0xe245 No such name PTR 5.173.189.20.in-addr.arpa SOA ns1-02.azure-dns.com"
"16566","201.618415","192.168.234.129","192.168.234.2","DNS","133","Standard query 0xea42 A vmw-keyid-7dc694e1591804e5f34965e149456bad78b42170.microsoftaik.azure.net"
"16568","201.619842","192.168.234.2","192.168.234.129","DNS","325","Standard query response 0xea42 A vmw-keyid-7dc694e1591804e5f34965e149456bad78b42170.microsoftaik.azure.net CNAME prdf.aadg.msidentity.com CNAME www.tm.f.prd.aadg.akadns.net A 40.126.29.1 A 40.126.29.2 A 40.126.29.22 A 40.126.29.21 A 40.126.29.23 A 40.126.29.0 A 40.126.29.20"
"16572","201.623105","192.168.234.2","192.168.234.129","DNS","325","Standard query response 0xea42 A vmw-keyid-7dc694e1591804e5f34965e149456bad78b42170.microsoftaik.azure.net CNAME prdf.aadg.msidentity.com CNAME www.tm.f.prd.aadg.akadns.net A 40.126.29.1 A 40.126.29.2 A 40.126.29.22 A 40.126.29.21 A 40.126.29.23 A 40.126.29.0 A 40.126.29.20"
"16640","202.569000","192.168.234.129","192.168.234.2","DNS","86","Standard query 0xf168 PTR 232.168.11.51.in-addr.arpa"
"16641","202.572202","192.168.234.129","192.168.234.2","DNS","88","Standard query 0x771d PTR 250.255.255.239.in-addr.arpa"
"16646","202.583721","192.168.234.129","192.168.234.2","DNS","84","Standard query 0xe04c PTR 1.29.126.40.in-addr.arpa"
